Row,Primary Type,Arrest,District,Year,Latitude,Longitude,min_distance2police,Values,date_column
1160467,THEFT,False,2.0,2011,41.82467357,-87.626413225,0.009430600521522364,1,2011-04-02 20:00:00
1160471,ASSAULT,False,24.0,2011,42.019517794,-87.68819727,0.01958460048067227,1,2011-04-04 12:15:00
1160474,BATTERY,False,10.0,2011,41.844280497,-87.72241492,0.020798902013000276,1,2011-04-04 22:50:00
1160484,THEFT,False,8.0,2011,41.780595495,-87.68367553,0.015162999700981125,1,2011-04-07 15:10:00
1160490,THEFT,False,19.0,2011,41.927458441999995,-87.64159938200001,0.019484298553299577,1,2011-04-08 15:30:00
1160492,BATTERY,False,14.0,2011,41.931018087,-87.70617128,0.02911760528031422,1,2011-04-10 01:25:00
1160497,BATTERY,True,2.0,2011,41.831073057,-87.62017475100001,0.030038968194566928,1,2011-04-12 15:05:00
1160504,BATTERY,False,17.0,2011,41.93885221,-87.744933152,0.006172140576430123,1,2011-04-13 13:55:00
1160510,ASSAULT,True,5.0,2011,41.707095328,-87.628834415,0.021993427351554913,1,2011-04-15 18:48:00
1160511,BATTERY,False,8.0,2011,41.79054357,-87.780130326,0.024467603326424447,1,2011-04-15 14:45:00
1160512,THEFT,False,12.0,2011,41.890976027,-87.667492786,0.021415605355815267,1,2011-04-17 00:30:00
1160513,ASSAULT,True,5.0,2011,41.684009764,-87.64098427799999,0.014779646575246264,1,2011-04-17 17:30:00
1160522,THEFT,False,15.0,2011,41.88314073,-87.76660788,0.03135886994990901,1,2011-04-19 16:00:00
1160523,BATTERY,False,7.0,2011,41.779153403,-87.65449147,0.04801601445720792,1,2011-04-20 17:30:00
1160531,BATTERY,False,9.0,2011,41.850964569,-87.63284068700001,0.015442887034626441,1,2011-04-24 11:30:00
1160550,BATTERY,False,9.0,2011,41.796278388000005,-87.70225342200001,0.028596495850732342,1,2011-05-01 23:15:00
1160551,THEFT,False,8.0,2011,41.764189497,-87.715917635,0.02232590564516215,1,2011-05-01 19:00:00
1160561,THEFT,False,8.0,2011,41.778802358,-87.71377935,0.08044159045365733,1,2011-05-03 18:00:00
1160562,BATTERY,False,11.0,2011,41.8871929,-87.720959585,0.018679469355582963,1,2011-05-05 08:00:00
1160568,BATTERY,False,5.0,2011,41.70427851,-87.61975395,0.019846303604861584,1,2011-05-01 17:47:00
1160569,BATTERY,False,9.0,2011,41.841568676,-87.658118585,0.04580235579634481,1,2011-05-07 16:00:00
1160570,BATTERY,True,4.0,2011,41.720613536,-87.57739393799999,0.02098263137178031,1,2011-05-07 19:20:00
1160585,ASSAULT,False,12.0,2011,41.895197128,-87.648900523,0.042424694019192875,1,2011-05-11 17:30:00
1160587,BATTERY,False,4.0,2011,41.74556186,-87.546705124,0.00813889968947418,1,2011-05-13 11:00:00
1160589,THEFT,False,3.0,2011,41.791710871,-87.585063,0.02029360169262854,1,2011-05-11 23:45:00
1160607,BATTERY,True,4.0,2011,41.705523241,-87.53528780200001,0.020910469343226934,1,2011-05-17 21:03:00
1160616,THEFT,False,7.0,2011,41.76591285,-87.66020273299999,0.01939407342857832,1,2011-05-20 10:35:00
1160619,ASSAULT,False,7.0,2011,41.782322899,-87.66428794,0.02373291297190825,1,2011-05-21 16:15:00
1160620,THEFT,False,19.0,2011,41.927866871,-87.648849079,0.01554273073908058,1,2011-05-21 11:00:00
1160628,BATTERY,False,7.0,2011,41.779820203,-87.640233291,0.02606788206928761,1,2011-05-24 11:55:00
1160630,THEFT,False,12.0,2011,41.898898534000004,-87.661349765,0.015245522628425379,1,2011-05-23 11:05:00
1160639,THEFT,False,12.0,2011,41.868800024,-87.67707046,0.010001270215415916,1,2011-05-26 14:00:00
1160644,THEFT,False,14.0,2011,41.91058445,-87.67096288,0.01212420417985114,1,2011-05-27 11:00:00
1160646,BATTERY,False,7.0,2011,41.773036208,-87.67617424,0.011576859707975031,1,2011-06-02 10:45:00
1160655,THEFT,False,19.0,2011,41.96245015,-87.64255203,0.01294151555050719,1,2011-06-07 19:30:00
1160657,THEFT,False,10.0,2011,41.83029433,-87.727336291,0.012009803439912653,1,2011-06-08 01:33:00
1160658,BATTERY,False,9.0,2011,41.799438937,-87.672332426,0.01923976400788,1,2011-06-09 22:50:00
1160663,THEFT,False,1.0,2011,41.88477741,-87.637058225,0.01318828658232487,1,2011-06-10 13:45:00
1160671,ASSAULT,False,9.0,2011,41.835674792,-87.646221482,0.0311953332100982,1,2011-06-13 22:45:00
1160675,BURGLARY,False,11.0,2011,41.900059954,-87.72134357,0.013555666961067256,1,2011-06-13 17:30:00
1160676,BATTERY,False,22.0,2011,41.709663266999996,-87.65983398899999,0.01434615830885533,1,2011-06-11 09:00:00
1160680,BATTERY,False,25.0,2011,41.92436229,-87.73687555,0.03394398365298286,1,2011-06-15 13:15:00
1160681,ASSAULT,False,6.0,2011,41.749725521,-87.652507532,0.03228634824390114,1,2011-06-16 14:41:00
1160682,THEFT,False,1.0,2011,41.88030381,-87.636978269,0.004948802515925895,1,2011-06-15 18:30:00
1160686,ASSAULT,False,10.0,2011,41.85128593,-87.67462881799999,0.016671544933882305,1,2011-06-18 14:00:00
1160689,ASSAULT,False,3.0,2011,41.764166018000004,-87.59517725799999,0.019917109551465063,1,2011-06-19 13:05:00
1160692,ASSAULT,False,10.0,2011,41.849042121,-87.675760273,0.015020330572066849,1,2011-06-19 20:30:00
1160699,ASSAULT,False,2.0,2011,41.820325727,-87.61082885,0.0059226215256338935,1,2011-06-10 11:00:00
1160700,BATTERY,False,18.0,2011,41.908430535,-87.638509526,0.03174422118525183,1,2011-06-19 18:00:00
1160703,THEFT,False,8.0,2011,41.743013698,-87.73392158,0.018467245646906025,1,2011-06-23 08:30:00
1160704,NARCOTICS,True,7.0,2011,41.768634583,-87.65822778,0.019998066810384282,1,2011-06-23 20:42:00
1160713,ASSAULT,False,4.0,2011,41.749652167,-87.58679761799999,0.014285143971636572,1,2011-06-28 19:30:00
1160721,THEFT,True,17.0,2011,41.994758989,-87.7144777,0.007955287761282036,1,2011-06-29 12:10:00
1160722,ASSAULT,False,4.0,2011,41.744594965,-87.556251559,0.011133899334624364,1,2011-06-29 13:00:00
