type,date,$500 AND UNDER,FROM BUILDING,OVER $500,RETAIL THEFT
theft,1/1/2008,50072,34996,47500,22440
theft,1/1/2009,47800,30740,42381,22234
theft,1/1/2010,46600,24336,41390,17503
theft,1/1/2011,28998,13437,15714,9259
theft,1/1/2012,29512,12083,15955,8955
theft,1/1/2013,27786,11391,15471,8357
theft,1/1/2014,28493,6082,14735,7909
theft,1/1/2015,24471,8680,12565,8436
theft,1/1/2016,23043,9305,14236,8795
theft,1/1/2017,24260,10441,15125,10438
theft,1/1/2018,22747,9710,13951,9953
