crime,arrest,date,latitude,longitude,domestic,district,FBI_code,year,month,hour,day,dayofweek,weekofyear,quarter
OVER $500,False,2018-12-07 21:00:00,41.773092157,-87.731460357,False,8.0,6,2018,12,21,7,4,49,4
OVER $500,False,2018-12-07 20:45:00,41.884288321999996,-87.64790424799999,False,12.0,6,2018,12,20,7,4,49,4
OVER $500,False,2018-12-07 20:10:00,41.906149103000004,-87.670847092,False,14.0,6,2018,12,20,7,4,49,4
RETAIL THEFT,False,2018-11-07 11:22:00,41.945601466,-87.709807144,False,17.0,6,2018,11,11,7,2,45,4
OVER $500,False,2018-12-01 18:00:00,41.749876545,-87.682838316,False,8.0,6,2018,12,18,1,5,48,4
OVER $500,False,2018-12-06 14:00:00,42.018959084,-87.693296136,False,24.0,6,2018,12,14,6,3,49,4
OVER $500,False,2018-12-06 19:00:00,41.969906677,-87.67104733299999,False,20.0,6,2018,12,19,6,3,49,4
OVER $500,False,2018-12-06 12:20:00,41.85268013,-87.63200711299999,False,9.0,6,2018,12,12,6,3,49,4
OVER $500,False,2018-12-06 20:00:00,41.891694584,-87.626108089,False,18.0,6,2018,12,20,6,3,49,4
OVER $500,False,2018-12-06 18:30:00,41.885826897,-87.65886833100002,False,12.0,6,2018,12,18,6,3,49,4
RETAIL THEFT,True,2018-12-06 20:00:00,41.796216156999996,-87.723245665,False,8.0,6,2018,12,20,6,3,49,4
OVER $500,False,2018-12-06 17:40:00,41.885766505999996,-87.65886529299999,False,12.0,6,2018,12,17,6,3,49,4
OVER $500,False,2018-12-06 18:45:00,41.930632745,-87.64421107700001,False,19.0,6,2018,12,18,6,3,49,4
RETAIL THEFT,False,2018-12-06 21:30:00,41.78701723,-87.645505595,False,7.0,6,2018,12,21,6,3,49,4
RETAIL THEFT,True,2018-12-06 18:30:00,41.865399465,-87.639188585,False,1.0,6,2018,12,18,6,3,49,4
OVER $500,False,2018-12-06 20:04:00,41.88336939,-87.633860272,False,1.0,6,2018,12,20,6,3,49,4
RETAIL THEFT,True,2018-12-06 18:47:00,41.929743818,-87.684273777,False,14.0,6,2018,12,18,6,3,49,4
RETAIL THEFT,False,2018-12-06 18:20:00,41.880487595,-87.745964635,False,15.0,6,2018,12,18,6,3,49,4
OVER $500,False,2018-12-06 17:30:00,41.889842586,-87.669851379,False,12.0,6,2018,12,17,6,3,49,4
OVER $500,False,2018-12-06 19:10:00,41.874060099,-87.705924314,False,11.0,6,2018,12,19,6,3,49,4
OVER $500,False,2018-12-06 16:20:00,41.915990756,-87.687370839,False,14.0,6,2018,12,16,6,3,49,4
RETAIL THEFT,False,2018-12-06 19:15:00,41.882394061999996,-87.627844798,False,1.0,6,2018,12,19,6,3,49,4
OVER $500,False,2018-12-06 17:50:00,41.897930731,-87.63573262,False,18.0,6,2018,12,17,6,3,49,4
RETAIL THEFT,True,2018-12-06 17:40:00,41.757614433,-87.58611526600002,False,4.0,6,2018,12,17,6,3,49,4
RETAIL THEFT,False,2018-12-06 17:00:00,41.930966067,-87.787305049,False,25.0,6,2018,12,17,6,3,49,4
RETAIL THEFT,True,2018-12-07 14:45:00,41.912437783,-87.736189335,False,25.0,6,2018,12,14,7,4,49,4
OVER $500,False,2018-12-07 17:05:00,41.929419611,-87.646469508,False,19.0,6,2018,12,17,7,4,49,4
RETAIL THEFT,True,2018-12-07 15:29:00,41.897895128,-87.624096605,False,18.0,6,2018,12,15,7,4,49,4
RETAIL THEFT,True,2018-12-07 14:00:00,41.882394061999996,-87.627844798,False,1.0,6,2018,12,14,7,4,49,4
RETAIL THEFT,False,2018-12-07 15:30:00,41.934245847,-87.715893636,False,14.0,6,2018,12,15,7,4,49,4
RETAIL THEFT,False,2018-12-07 13:30:00,41.947857457,-87.66403393200001,False,19.0,6,2018,12,13,7,4,49,4
RETAIL THEFT,False,2018-12-06 18:40:00,41.80977809,-87.674973531,False,9.0,6,2018,12,18,6,3,49,4
OVER $500,False,2018-12-06 11:30:00,41.900867168000005,-87.62277072399998,False,18.0,6,2018,12,11,6,3,49,4
RETAIL THEFT,True,2018-12-06 12:22:00,41.909240284,-87.65274758,False,18.0,6,2018,12,12,6,3,49,4
OVER $500,False,2018-12-06 00:58:00,41.858514770999996,-87.715194702,False,10.0,6,2018,12,0,6,3,49,4
RETAIL THEFT,False,2018-12-06 10:18:00,42.019399236999995,-87.675049485,False,24.0,6,2018,12,10,6,3,49,4
