crime,arrest,date,latitude,longitude,domestic,district,FBI_code,year,month,hour,day,dayofweek,weekofyear,quarter
OVER $500,False,2018-10-19 06:00:00,41.753916983,-87.606512908,False,6.0,6,2018,10,6,19,4,42,4
OVER $500,False,2018-10-20 01:00:00,41.949109352,-87.65014743100002,False,19.0,6,2018,10,1,20,5,42,4
OVER $500,False,2018-10-20 00:21:00,41.925402171,-87.652013607,False,18.0,6,2018,10,0,20,5,42,4
OVER $500,False,2018-10-20 01:00:00,41.925400604000004,-87.65221205700001,False,18.0,6,2018,10,1,20,5,42,4
OVER $500,False,2018-10-20 02:00:00,41.893202581,-87.63305515399998,False,18.0,6,2018,10,2,20,5,42,4
OVER $500,False,2018-10-15 10:30:00,41.912441678,-87.66848213600002,False,14.0,6,2018,10,10,15,0,42,4
RETAIL THEFT,False,2018-10-19 17:05:00,41.931578463,-87.743026506,False,25.0,6,2018,10,17,19,4,42,4
RETAIL THEFT,True,2018-10-19 11:15:00,41.865397377,-87.64066077700001,False,1.0,6,2018,10,11,19,4,42,4
RETAIL THEFT,False,2018-10-19 14:06:00,41.799490663,-87.593499384,False,2.0,6,2018,10,14,19,4,42,4
RETAIL THEFT,False,2018-10-19 14:30:00,41.881597699000004,-87.62775808200001,False,1.0,6,2018,10,14,19,4,42,4
OVER $500,False,2018-10-19 13:45:00,41.915259074,-87.63413676299999,False,18.0,6,2018,10,13,19,4,42,4
RETAIL THEFT,True,2018-10-19 12:55:00,41.680418425999996,-87.66243794799999,False,22.0,6,2018,10,12,19,4,42,4
OVER $500,False,2018-10-19 13:15:00,41.719142888,-87.638296004,False,22.0,6,2018,10,13,19,4,42,4
OVER $500,False,2018-10-19 15:15:00,41.897144939,-87.63422419700001,False,18.0,6,2018,10,15,19,4,42,4
RETAIL THEFT,False,2018-10-19 14:10:00,41.939897694,-87.654887948,False,19.0,6,2018,10,14,19,4,42,4
OVER $500,False,2018-10-19 11:45:00,41.882381731,-87.62941297100002,False,1.0,6,2018,10,11,19,4,42,4
OVER $500,False,2018-10-19 12:45:00,41.786881521,-87.65498929799999,False,7.0,6,2018,10,12,19,4,42,4
RETAIL THEFT,False,2018-10-19 12:05:00,41.908016743000005,-87.648197855,False,18.0,6,2018,10,12,19,4,42,4
RETAIL THEFT,True,2018-10-19 13:20:00,41.896714548,-87.625340136,False,18.0,6,2018,10,13,19,4,42,4
OVER $500,False,2018-10-19 11:13:00,41.794612643,-87.69382418100002,False,9.0,6,2018,10,11,19,4,42,4
RETAIL THEFT,False,2018-10-19 12:53:00,41.938554681,-87.768194131,False,16.0,6,2018,10,12,19,4,42,4
RETAIL THEFT,True,2018-10-19 11:31:00,41.963070794000004,-87.655984213,False,19.0,6,2018,10,11,19,4,42,4
RETAIL THEFT,True,2018-10-19 09:00:00,42.019399236999995,-87.675049485,False,24.0,6,2018,10,9,19,4,42,4
OVER $500,False,2018-10-19 01:00:00,41.96437549,-87.731568043,False,17.0,6,2018,10,1,19,4,42,4
RETAIL THEFT,True,2018-10-19 02:00:00,41.758214815,-87.62411933799999,False,6.0,6,2018,10,2,19,4,42,4
OVER $500,False,2018-10-19 08:20:00,41.837841022,-87.72680638899998,False,10.0,6,2018,10,8,19,4,42,4
OVER $500,False,2018-10-19 07:00:00,41.844082493,-87.620437671,False,1.0,6,2018,10,7,19,4,42,4
OVER $500,False,2018-10-19 07:50:00,41.876865807,-87.74340910299999,False,11.0,6,2018,10,7,19,4,42,4
RETAIL THEFT,True,2018-10-19 02:00:00,41.758214815,-87.62411933799999,False,6.0,6,2018,10,2,19,4,42,4
OVER $500,False,2018-10-19 16:15:00,41.819541807,-87.618435382,False,2.0,6,2018,10,16,19,4,42,4
RETAIL THEFT,False,2018-10-19 23:13:00,41.816039143000005,-87.62625873399998,False,2.0,6,2018,10,23,19,4,42,4
OVER $500,False,2018-10-19 20:00:00,41.903866454,-87.690744072,False,14.0,6,2018,10,20,19,4,42,4
OVER $500,False,2018-10-19 20:15:00,41.740556578,-87.67412015299999,False,6.0,6,2018,10,20,19,4,42,4
RETAIL THEFT,False,2018-10-19 18:05:00,41.910533752,-87.653832316,False,18.0,6,2018,10,18,19,4,42,4
OVER $500,False,2018-10-19 18:00:00,41.985475009,-87.694374614,False,20.0,6,2018,10,18,19,4,42,4
OVER $500,False,2018-10-19 05:41:00,41.894886471999996,-87.627501647,False,18.0,6,2018,10,5,19,4,42,4
OVER $500,False,2018-10-19 23:30:00,41.755167631,-87.650221725,False,6.0,6,2018,10,23,19,4,42,4
OVER $500,False,2018-10-19 12:08:00,41.941821405,-87.690664522,False,19.0,6,2018,10,12,19,4,42,4
OVER $500,False,2018-10-19 20:00:00,41.940076135,-87.64247379700001,False,19.0,6,2018,10,20,19,4,42,4
RETAIL THEFT,True,2018-10-19 20:32:00,41.897895128,-87.624096605,False,18.0,6,2018,10,20,19,4,42,4
OVER $500,False,2018-10-19 23:00:00,41.891069066,-87.701941935,False,12.0,6,2018,10,23,19,4,42,4
OVER $500,False,2018-10-19 22:15:00,41.952990764,-87.780904191,False,16.0,6,2018,10,22,19,4,42,4
OVER $500,False,2018-10-19 10:00:00,41.756507401,-87.562686593,False,4.0,6,2018,10,10,19,4,42,4
OVER $500,False,2018-10-19 01:06:00,41.997824906,-87.684285071,False,24.0,6,2018,10,1,19,4,42,4
OVER $500,False,2018-06-18 03:30:00,41.889959383000004,-87.635841395,False,18.0,6,2018,6,3,18,0,25,2
OVER $500,False,2018-09-28 07:37:00,41.864583447,-87.686497178,False,10.0,6,2018,9,7,28,4,39,3
OVER $500,False,2018-08-17 18:18:00,41.8857505,-87.628329355,False,1.0,6,2018,8,18,17,4,33,3
OVER $500,False,2018-10-04 15:30:00,41.892993568,-87.62270741399998,False,18.0,6,2018,10,15,4,3,40,4
OVER $500,False,2018-08-07 07:30:00,41.90453686,-87.634503562,False,18.0,6,2018,8,7,7,1,32,3
OVER $500,False,2018-09-23 14:00:00,41.894764247,-87.63624456,False,18.0,6,2018,9,14,23,6,38,3
OVER $500,False,2018-08-12 15:15:00,41.88462181,-87.635385324,False,1.0,6,2018,8,15,12,6,32,3
RETAIL THEFT,False,2018-10-18 14:00:00,41.736784354,-87.566003775,False,4.0,6,2018,10,14,18,3,42,4
OVER $500,False,2018-10-13 01:30:00,41.894206268000005,-87.6356446,False,18.0,6,2018,10,1,13,5,41,4
RETAIL THEFT,False,2018-10-02 21:00:00,41.908016743000005,-87.648197855,False,18.0,6,2018,10,21,2,1,40,4
OVER $500,False,2018-10-07 02:46:00,41.891678766999995,-87.627551654,False,18.0,6,2018,10,2,7,6,40,4
OVER $500,False,2018-09-22 20:30:00,41.910939219,-87.638585187,False,18.0,6,2018,9,20,22,5,38,3
OVER $500,False,2018-08-17 05:00:00,41.919768514,-87.66183632200001,False,18.0,6,2018,8,5,17,4,33,3
RETAIL THEFT,False,2018-03-19 14:00:00,41.91244802,-87.653165399,False,18.0,6,2018,3,14,19,0,12,1
OVER $500,False,2018-10-19 10:00:00,41.820492226,-87.606336517,False,2.0,6,2018,10,10,19,4,42,4
OVER $500,False,2018-10-19 12:47:00,41.721549390999996,-87.595983892,False,5.0,6,2018,10,12,19,4,42,4
OVER $500,False,2018-10-19 16:00:00,41.755042102,-87.725061421,False,8.0,6,2018,10,16,19,4,42,4
OVER $500,False,2018-10-19 09:00:00,42.002249384,-87.670505998,False,24.0,6,2018,10,9,19,4,42,4
OVER $500,False,2018-10-19 16:15:00,41.762241175,-87.65976827700001,False,7.0,6,2018,10,16,19,4,42,4
RETAIL THEFT,True,2018-10-19 14:37:00,41.896714548,-87.625340136,False,18.0,6,2018,10,14,19,4,42,4
RETAIL THEFT,False,2018-10-19 11:52:00,41.924491601999996,-87.725945966,False,25.0,6,2018,10,11,19,4,42,4
OVER $500,False,2018-10-19 11:50:00,41.885741029,-87.63171174899998,False,1.0,6,2018,10,11,19,4,42,4
OVER $500,False,2018-10-18 14:00:00,41.852511515,-87.717458486,False,10.0,6,2018,10,14,18,3,42,4
OVER $500,False,2018-10-18 10:00:00,41.949620061,-87.677010431,False,19.0,6,2018,10,10,18,3,42,4
OVER $500,False,2018-10-18 09:00:00,41.923507717,-87.65649470000002,False,18.0,6,2018,10,9,18,3,42,4
OVER $500,False,2018-10-18 21:00:00,41.854257475,-87.626091213,False,1.0,6,2018,10,21,18,3,42,4
OVER $500,False,2018-10-18 19:45:00,41.907758382,-87.673908994,False,14.0,6,2018,10,19,18,3,42,4
OVER $500,False,2018-10-18 15:00:00,42.011920331,-87.663020514,False,24.0,6,2018,10,15,18,3,42,4
OVER $500,False,2018-10-18 16:00:00,41.769417774000004,-87.569856281,False,3.0,6,2018,10,16,18,3,42,4
OVER $500,False,2018-10-18 08:00:00,41.795481194000004,-87.783120695,False,8.0,6,2018,10,8,18,3,42,4
OVER $500,False,2018-10-18 17:00:00,41.902085461999995,-87.64116803200001,False,18.0,6,2018,10,17,18,3,42,4
OVER $500,False,2018-10-18 21:00:00,41.807808400999996,-87.598175695,False,2.0,6,2018,10,21,18,3,42,4
OVER $500,False,2018-10-18 21:00:00,41.949156502,-87.779073535,False,16.0,6,2018,10,21,18,3,42,4
OVER $500,False,2018-10-18 15:00:00,41.856561793000004,-87.63311731700001,False,9.0,6,2018,10,15,18,3,42,4
RETAIL THEFT,False,2018-10-18 18:39:00,41.883475491,-87.627876969,False,1.0,6,2018,10,18,18,3,42,4
OVER $500,False,2018-10-18 11:00:00,41.844542724,-87.70289137600003,False,10.0,6,2018,10,11,18,3,42,4
OVER $500,False,2018-10-18 06:00:00,41.949945541,-87.734549085,False,17.0,6,2018,10,6,18,3,42,4
OVER $500,False,2018-10-18 21:30:00,41.707062135,-87.631482564,False,5.0,6,2018,10,21,18,3,42,4
OVER $500,False,2018-10-18 22:00:00,41.841942947,-87.71228618,False,10.0,6,2018,10,22,18,3,42,4
OVER $500,False,2018-10-18 20:30:00,41.776382364,-87.59455692200001,False,3.0,6,2018,10,20,18,3,42,4
OVER $500,False,2018-10-18 22:30:00,41.722853582,-87.61295851700001,False,6.0,6,2018,10,22,18,3,42,4
OVER $500,False,2018-10-18 22:00:00,41.972660931,-87.73432166299999,True,17.0,6,2018,10,22,18,3,42,4
OVER $500,False,2018-10-18 18:00:00,41.900588156,-87.628706133,False,18.0,6,2018,10,18,18,3,42,4
RETAIL THEFT,True,2018-10-18 20:45:00,41.739265865,-87.604893749,False,6.0,6,2018,10,20,18,3,42,4
OVER $500,False,2018-10-18 21:25:00,41.913463243,-87.631705806,False,18.0,6,2018,10,21,18,3,42,4
OVER $500,False,2018-10-18 10:00:00,41.751635451,-87.64649547200001,False,6.0,6,2018,10,10,18,3,42,4
OVER $500,False,2018-10-18 19:00:00,41.885480781,-87.658343146,False,12.0,6,2018,10,19,18,3,42,4
OVER $500,False,2018-10-18 21:50:00,41.927488083,-87.64883475399998,False,19.0,6,2018,10,21,18,3,42,4
RETAIL THEFT,False,2018-10-18 17:59:00,41.751827103000004,-87.559231739,False,4.0,6,2018,10,17,18,3,42,4
OVER $500,False,2018-10-18 21:54:00,41.884969386,-87.62625938299999,False,1.0,6,2018,10,21,18,3,42,4
RETAIL THEFT,True,2018-10-18 13:27:00,41.754592961,-87.74152853700001,False,8.0,6,2018,10,13,18,3,42,4
OVER $500,False,2018-10-18 04:00:00,41.982151427,-87.664914363,False,20.0,6,2018,10,4,18,3,42,4
OVER $500,False,2018-10-18 19:00:00,41.930896786999995,-87.697587655,False,14.0,6,2018,10,19,18,3,42,4
RETAIL THEFT,True,2018-10-18 17:53:00,41.882394061999996,-87.627844798,False,1.0,6,2018,10,17,18,3,42,4
OVER $500,False,2018-10-18 19:15:00,41.957995991,-87.68145033799999,False,19.0,6,2018,10,19,18,3,42,4
OVER $500,False,2018-10-18 20:30:00,41.773062745,-87.61023772200001,False,3.0,6,2018,10,20,18,3,42,4
RETAIL THEFT,False,2018-10-18 20:33:00,41.976851851999996,-87.654999693,False,20.0,6,2018,10,20,18,3,42,4
RETAIL THEFT,True,2018-10-18 18:45:00,41.910886106999996,-87.650316375,False,18.0,6,2018,10,18,18,3,42,4
OVER $500,False,2018-10-18 16:51:00,41.768645968,-87.726164613,False,8.0,6,2018,10,16,18,3,42,4
OVER $500,False,2018-10-18 04:45:00,41.90808363,-87.63560739799999,False,18.0,6,2018,10,4,18,3,42,4
OVER $500,False,2018-10-18 11:55:00,41.754909338000004,-87.668409918,False,6.0,6,2018,10,11,18,3,42,4
OVER $500,False,2018-10-18 19:00:00,41.71013828,-87.608020755,False,5.0,6,2018,10,19,18,3,42,4
RETAIL THEFT,True,2018-10-18 18:54:00,41.883500186999996,-87.627876698,False,1.0,6,2018,10,18,18,3,42,4
RETAIL THEFT,True,2018-10-18 17:40:00,41.794172544,-87.70357593,False,9.0,6,2018,10,17,18,3,42,4
RETAIL THEFT,False,2018-10-18 18:45:00,41.808659359,-87.66092184600002,False,9.0,6,2018,10,18,18,3,42,4
RETAIL THEFT,True,2018-10-18 16:58:00,41.884650262,-87.627915459,False,1.0,6,2018,10,16,18,3,42,4
OVER $500,False,2018-10-18 18:21:00,41.902216694,-87.66470548299999,False,12.0,6,2018,10,18,18,3,42,4
RETAIL THEFT,True,2018-10-18 16:08:00,41.897837503000005,-87.624097243,False,18.0,6,2018,10,16,18,3,42,4
OVER $500,False,2018-10-18 08:00:00,41.752545308,-87.62459954100002,False,6.0,6,2018,10,8,18,3,42,4
OVER $500,False,2018-10-18 14:44:00,41.89484552,-87.63022006799999,False,18.0,6,2018,10,14,18,3,42,4
RETAIL THEFT,True,2018-10-18 15:15:00,41.91007391,-87.65310610600002,False,18.0,6,2018,10,15,18,3,42,4
RETAIL THEFT,False,2018-10-18 11:09:00,42.019399236999995,-87.675049485,False,24.0,6,2018,10,11,18,3,42,4
OVER $500,False,2018-10-18 10:45:00,41.88154779,-87.617476556,False,1.0,6,2018,10,10,18,3,42,4
RETAIL THEFT,True,2018-10-18 12:00:00,41.909664252,-87.742728815,False,25.0,6,2018,10,12,18,3,42,4
RETAIL THEFT,False,2018-10-18 11:01:00,41.92046017,-87.67083136,False,14.0,6,2018,10,11,18,3,42,4
RETAIL THEFT,False,2018-10-18 10:35:00,41.764245206999995,-87.683232026,False,8.0,6,2018,10,10,18,3,42,4
OVER $500,False,2018-10-18 08:30:00,41.729242455,-87.58506301799999,False,4.0,6,2018,10,8,18,3,42,4
RETAIL THEFT,True,2018-10-18 10:29:00,42.019399236999995,-87.675049485,False,24.0,6,2018,10,10,18,3,42,4
OVER $500,False,2018-10-18 11:15:00,41.932583092,-87.701312164,False,14.0,6,2018,10,11,18,3,42,4
RETAIL THEFT,True,2018-10-18 01:09:00,41.767448959,-87.585957168,False,3.0,6,2018,10,1,18,3,42,4
OVER $500,False,2018-10-13 16:00:00,41.778352885,-87.74629262200001,False,8.0,6,2018,10,16,13,5,41,4
RETAIL THEFT,True,2018-10-18 22:00:00,41.739265865,-87.604893749,False,6.0,6,2018,10,22,18,3,42,4
OVER $500,False,2018-10-18 21:00:00,41.92843502,-87.648865054,False,19.0,6,2018,10,21,18,3,42,4
OVER $500,False,2018-10-15 14:40:00,41.908560535,-87.67740914299999,False,14.0,6,2018,10,14,15,0,42,4
OVER $500,False,2018-07-23 10:00:00,41.754276273,-87.61257793600002,False,6.0,6,2018,7,10,23,0,30,3
OVER $500,False,2018-09-17 20:20:00,41.891718370999996,-87.64584153,False,12.0,6,2018,9,20,17,0,38,3
RETAIL THEFT,False,2018-09-13 00:00:00,41.946542649,-87.714356095,False,17.0,6,2018,9,0,13,3,37,3
OVER $500,False,2018-10-09 19:15:00,41.90352381,-87.66674162,False,14.0,6,2018,10,19,9,1,41,4
OVER $500,False,2018-10-02 12:00:00,41.686300854,-87.668329703,False,22.0,6,2018,10,12,2,1,40,4
OVER $500,False,2018-10-11 14:27:00,41.882137696,-87.706157436,False,12.0,6,2018,10,14,11,3,41,4
RETAIL THEFT,False,2018-10-16 15:15:00,41.998144317,-87.664868425,False,24.0,6,2018,10,15,16,1,42,4
OVER $500,False,2018-10-08 14:30:00,41.872058746,-87.68746456,False,11.0,6,2018,10,14,8,0,41,4
OVER $500,False,2018-10-17 18:30:00,41.921872242,-87.715913732,False,14.0,6,2018,10,18,17,2,42,4
OVER $500,False,2018-10-15 19:10:00,41.88109587,-87.654684101,False,12.0,6,2018,10,19,15,0,42,4
OVER $500,False,2018-10-13 14:20:00,41.881441785,-87.667837814,False,12.0,6,2018,10,14,13,5,41,4
OVER $500,False,2018-10-17 17:30:00,41.813315251,-87.68946000700001,False,9.0,6,2018,10,17,17,2,42,4
OVER $500,False,2018-10-17 23:40:00,41.779004438,-87.701003946,False,8.0,6,2018,10,23,17,2,42,4
OVER $500,False,2018-10-17 22:00:00,41.800033248000005,-87.740501819,False,8.0,6,2018,10,22,17,2,42,4
RETAIL THEFT,False,2018-10-17 22:00:00,41.929242595,-87.65407846299999,False,19.0,6,2018,10,22,17,2,42,4
RETAIL THEFT,False,2018-10-05 17:29:00,41.757457948,-87.586106086,False,4.0,6,2018,10,17,5,4,40,4
OVER $500,False,2018-10-17 23:30:00,41.89355115,-87.724024462,False,11.0,6,2018,10,23,17,2,42,4
OVER $500,False,2018-10-17 19:30:00,41.927118854,-87.70422141200001,False,14.0,6,2018,10,19,17,2,42,4
OVER $500,False,2018-10-16 20:00:00,41.871834768,-87.62615082,False,1.0,6,2018,10,20,16,1,42,4
RETAIL THEFT,False,2018-10-18 17:18:00,41.909421431,-87.761992667,False,25.0,6,2018,10,17,18,3,42,4
RETAIL THEFT,False,2018-10-18 15:50:00,41.888673308,-87.63104798,False,18.0,6,2018,10,15,18,3,42,4
OVER $500,False,2018-10-18 15:45:00,41.740205264000004,-87.67411275399998,False,6.0,6,2018,10,15,18,3,42,4
RETAIL THEFT,False,2018-10-18 15:00:00,41.88233367,-87.62784179100002,False,1.0,6,2018,10,15,18,3,42,4
OVER $500,False,2018-10-18 14:30:00,41.923416006,-87.78543292200001,False,25.0,6,2018,10,14,18,3,42,4
RETAIL THEFT,True,2018-10-18 14:45:00,41.926404100999996,-87.792881805,False,25.0,6,2018,10,14,18,3,42,4
RETAIL THEFT,True,2018-10-18 14:30:00,41.912437783,-87.736189335,False,25.0,6,2018,10,14,18,3,42,4
RETAIL THEFT,False,2018-10-18 12:36:00,41.908706263,-87.73631228299999,False,25.0,6,2018,10,12,18,3,42,4
RETAIL THEFT,False,2018-10-18 11:10:00,41.677810006,-87.642302645,False,5.0,6,2018,10,11,18,3,42,4
OVER $500,False,2018-10-18 08:35:00,41.726858089000004,-87.649887943,False,22.0,6,2018,10,8,18,3,42,4
RETAIL THEFT,False,2018-10-18 13:40:00,42.019399236999995,-87.675049485,False,24.0,6,2018,10,13,18,3,42,4
OVER $500,True,2018-10-18 13:15:00,41.808691684,-87.65847861399997,False,9.0,6,2018,10,13,18,3,42,4
OVER $500,False,2018-10-17 20:20:00,41.91134544,-87.66118983700001,False,14.0,6,2018,10,20,17,2,42,4
RETAIL THEFT,True,2018-10-17 19:00:00,41.912437783,-87.736189335,False,25.0,6,2018,10,19,17,2,42,4
RETAIL THEFT,True,2018-10-17 16:34:00,41.866331725,-87.666379171,False,12.0,6,2018,10,16,17,2,42,4
OVER $500,False,2018-10-17 10:20:00,41.744421464,-87.569254725,False,4.0,6,2018,10,10,17,2,42,4
RETAIL THEFT,False,2018-10-17 10:29:00,41.897895128,-87.624096605,False,18.0,6,2018,10,10,17,2,42,4
OVER $500,False,2018-10-16 19:00:00,41.729252399,-87.611062619,False,6.0,6,2018,10,19,16,1,42,4
RETAIL THEFT,False,2018-10-16 20:47:00,41.908016743000005,-87.648197855,False,18.0,6,2018,10,20,16,1,42,4
RETAIL THEFT,False,2018-10-17 11:28:00,41.865397377,-87.64066077700001,False,1.0,6,2018,10,11,17,2,42,4
OVER $500,False,2018-10-16 17:30:00,41.919551711,-87.776787141,False,25.0,6,2018,10,17,16,1,42,4
OVER $500,False,2018-08-25 10:00:00,41.88110009,-87.692683446,False,12.0,6,2018,8,10,25,5,34,3
RETAIL THEFT,False,2018-10-17 10:35:00,41.911187178,-87.677481447,False,14.0,6,2018,10,10,17,2,42,4
OVER $500,False,2018-10-16 22:00:00,41.897267498000005,-87.63272057399998,False,18.0,6,2018,10,22,16,1,42,4
OVER $500,False,2018-10-16 22:00:00,41.923284685,-87.698648012,False,14.0,6,2018,10,22,16,1,42,4
OVER $500,False,2018-10-16 11:00:00,41.877578503,-87.629282088,False,1.0,6,2018,10,11,16,1,42,4
OVER $500,False,2018-10-16 20:40:00,41.910214470999996,-87.633119064,False,18.0,6,2018,10,20,16,1,42,4
RETAIL THEFT,False,2018-10-15 10:55:00,41.908016743000005,-87.648197855,False,18.0,6,2018,10,10,15,0,42,4
RETAIL THEFT,False,2018-10-14 14:48:00,41.911022492,-87.677475785,False,14.0,6,2018,10,14,14,6,41,4
RETAIL THEFT,False,2018-10-16 19:00:00,41.953643409,-87.72801475,False,17.0,6,2018,10,19,16,1,42,4
RETAIL THEFT,False,2018-10-16 19:50:00,41.868541914,-87.639235361,False,1.0,6,2018,10,19,16,1,42,4
OVER $500,False,2018-10-16 11:58:00,41.994071995,-87.783856177,False,16.0,6,2018,10,11,16,1,42,4
OVER $500,False,2018-10-15 18:00:00,41.78935216,-87.708342424,False,8.0,6,2018,10,18,15,0,42,4
RETAIL THEFT,False,2018-10-16 11:30:00,41.91244802,-87.653165399,False,18.0,6,2018,10,11,16,1,42,4
RETAIL THEFT,True,2018-10-16 13:03:00,41.866810739,-87.625817031,False,1.0,6,2018,10,13,16,1,42,4
OVER $500,False,2018-10-15 19:00:00,41.86850963,-87.625849698,False,1.0,6,2018,10,19,15,0,42,4
OVER $500,False,2018-10-16 11:00:00,41.926404100999996,-87.792881805,False,25.0,6,2018,10,11,16,1,42,4
OVER $500,False,2018-10-15 18:00:00,41.87540431,-87.62425353,False,1.0,6,2018,10,18,15,0,42,4
RETAIL THEFT,True,2018-10-10 17:46:00,41.920119932,-87.64061307600002,False,18.0,6,2018,10,17,10,2,41,4
RETAIL THEFT,False,2018-10-16 10:10:00,41.909874228,-87.72720139299999,False,25.0,6,2018,10,10,16,1,42,4
OVER $500,False,2018-10-15 12:00:00,41.900588156,-87.628706133,False,18.0,6,2018,10,12,15,0,42,4
OVER $500,False,2018-09-24 15:36:00,41.78260047,-87.70368551,False,8.0,6,2018,9,15,24,0,39,3
RETAIL THEFT,False,2018-10-16 00:30:00,41.910962486,-87.66234009899998,False,14.0,6,2018,10,0,16,1,42,4
OVER $500,False,2018-10-13 17:00:00,41.970993442,-87.70976917,False,17.0,6,2018,10,17,13,5,41,4
OVER $500,False,2018-10-13 22:30:00,41.805015566,-87.583866555,False,2.0,6,2018,10,22,13,5,41,4
OVER $500,False,2018-10-13 18:10:00,41.889757156,-87.675034364,False,12.0,6,2018,10,18,13,5,41,4
OVER $500,False,2018-10-13 20:20:00,41.839008315,-87.695081442,False,10.0,6,2018,10,20,13,5,41,4
OVER $500,False,2018-10-13 20:05:00,41.839008315,-87.695081442,False,10.0,6,2018,10,20,13,5,41,4
OVER $500,False,2018-10-13 20:30:00,41.837393632,-87.696374525,False,10.0,6,2018,10,20,13,5,41,4
OVER $500,False,2018-10-12 15:00:00,41.853808435,-87.691689521,False,10.0,6,2018,10,15,12,4,41,4
RETAIL THEFT,False,2018-10-13 18:20:00,41.896086635,-87.631234895,False,18.0,6,2018,10,18,13,5,41,4
RETAIL THEFT,True,2018-10-13 16:09:00,41.86821682,-87.6304532,False,1.0,6,2018,10,16,13,5,41,4
OVER $500,False,2018-10-12 19:00:00,41.881588993,-87.70367673700001,False,12.0,6,2018,10,19,12,4,41,4
OVER $500,False,2018-10-13 07:15:00,41.882836073,-87.702393894,False,12.0,6,2018,10,7,13,5,41,4
RETAIL THEFT,False,2018-10-13 09:30:00,41.866988841,-87.657205006,False,12.0,6,2018,10,9,13,5,41,4
OVER $500,False,2018-10-12 18:15:00,41.901189742,-87.66743443799999,False,12.0,6,2018,10,18,12,4,41,4
OVER $500,False,2018-10-12 05:30:00,41.876388206,-87.664758134,False,12.0,6,2018,10,5,12,4,41,4
OVER $500,False,2018-10-12 05:00:00,41.782190886,-87.69956837,False,8.0,6,2018,10,5,12,4,41,4
OVER $500,False,2018-10-12 15:45:00,41.908962044,-87.631597128,False,18.0,6,2018,10,15,12,4,41,4
RETAIL THEFT,False,2018-10-12 15:37:00,41.829933759,-87.67527339700001,False,9.0,6,2018,10,15,12,4,41,4
OVER $500,False,2018-10-12 07:00:00,41.763781977,-87.585864104,False,3.0,6,2018,10,7,12,4,41,4
OVER $500,False,2018-09-15 00:00:00,41.9211998,-87.792036506,True,25.0,6,2018,9,0,15,5,37,3
RETAIL THEFT,False,2018-10-11 14:00:00,41.908016743000005,-87.648197855,False,18.0,6,2018,10,14,11,3,41,4
OVER $500,False,2018-10-09 12:00:00,41.765918909,-87.65656275799999,False,7.0,6,2018,10,12,9,1,41,4
RETAIL THEFT,True,2018-10-17 16:00:00,41.881949766,-87.64736739700001,False,12.0,6,2018,10,16,17,2,42,4
OVER $500,False,2018-10-17 16:00:00,41.901081261,-87.662939455,False,12.0,6,2018,10,16,17,2,42,4
RETAIL THEFT,False,2018-10-17 17:40:00,41.945786539000004,-87.77509603200001,False,16.0,6,2018,10,17,17,2,42,4
RETAIL THEFT,True,2018-10-17 11:57:00,41.910533752,-87.653832316,False,18.0,6,2018,10,11,17,2,42,4
RETAIL THEFT,True,2018-10-17 09:30:00,41.910860169,-87.65195519,False,18.0,6,2018,10,9,17,2,42,4
OVER $500,False,2018-10-03 06:00:00,42.001382198,-87.664352579,False,24.0,6,2018,10,6,3,2,40,4
RETAIL THEFT,False,2018-10-17 15:30:00,41.851990867,-87.68908329,False,10.0,6,2018,10,15,17,2,42,4
RETAIL THEFT,True,2018-10-17 11:57:00,41.909804314,-87.651606387,False,18.0,6,2018,10,11,17,2,42,4
OVER $500,False,2018-10-11 06:30:00,41.910618959000004,-87.668387162,False,14.0,6,2018,10,6,11,3,41,4
OVER $500,False,2018-09-29 18:10:00,41.923976215,-87.76629441600002,False,25.0,6,2018,9,18,29,5,39,3
RETAIL THEFT,False,2018-09-29 12:45:00,41.881183104,-87.68498211,False,12.0,6,2018,9,12,29,5,39,3
OVER $500,False,2018-09-27 19:00:00,41.921618877,-87.66337489700001,False,18.0,6,2018,9,19,27,3,39,3
OVER $500,False,2018-09-25 19:30:00,41.878740896,-87.67728088,False,12.0,6,2018,9,19,25,1,39,3
OVER $500,False,2018-08-21 08:00:00,41.772055277,-87.620286316,False,3.0,6,2018,8,8,21,1,34,3
OVER $500,False,2018-09-26 18:00:00,41.87248616,-87.669061591,False,12.0,6,2018,9,18,26,2,39,3
OVER $500,False,2018-09-14 17:00:00,41.920635754,-87.65345324200001,False,18.0,6,2018,9,17,14,4,37,3
OVER $500,False,2018-09-23 01:55:00,41.909569192,-87.667659627,False,14.0,6,2018,9,1,23,6,38,3
OVER $500,False,2018-09-22 17:40:00,41.86821682,-87.6304532,False,1.0,6,2018,9,17,22,5,38,3
OVER $500,False,2018-09-20 13:00:00,41.791856276,-87.776914031,False,8.0,6,2018,9,13,20,3,38,3
RETAIL THEFT,True,2018-09-22 10:07:00,41.794172544,-87.70357593,False,9.0,6,2018,9,10,22,5,38,3
OVER $500,False,2018-09-17 19:30:00,41.870930453,-87.660155795,False,12.0,6,2018,9,19,17,0,38,3
OVER $500,False,2018-09-15 07:11:00,41.854300404,-87.622820226,False,1.0,6,2018,9,7,15,5,37,3
RETAIL THEFT,False,2018-09-12 17:30:00,41.754592961,-87.74152853700001,False,8.0,6,2018,9,17,12,2,37,3
